"Сведения о страховых суммах по договорам страхования, заключенным в отчетном периоде (с учетом изменений), в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",24164956.556479998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,13049169.36,8507119.36,1682415.599,0,0,0,0,6824703.761,4542050,0,0,4542050,11115787.19648,10878868.61627,6227335.9,6227335.9,0,0,0,0,0,0,2493510.54848,0,0,0,0,0,0,0,0,0,0,0,1709161.46979,0,0,1709161.46979,448860.698,408983.546,35606.989,4270.163,234418.58021,68900,68900,0,0,0,0,0,0,0,21318.58021,0,0,21318.58021,77000,0,77000,65200,0,0,0,0,65200,2000,,0,0,0,0,0,0,2000,0,0,2500,0,0,2500,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",48436023.32239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,29802463.64252,24205565.50952,0,0,0,23529820.96187,0,675744.54765,5596898.133,5462184.589,5210,129503.544,18633559.67987,15851499.61283,3110651.32456,3110651.32456,0,500000,0,0,0,0,1199738.68756,0,0,0,0,0,0,0,0,0,0,0,9266615.87845,1367.4744,0,9265248.40405,1774493.72226,1382521.74322,117238.69,274733.28904,2521130.0708,99000,99000,0,0,0,0,0,0,0,0,0,0,0,2094329.3929,1329.3929,2093000,313800.6779,0,0,23000,0,290800.6779,14000,,0,0,0,0,0,0,14000,0,0,260929.99624,0,0,260929.99624,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",315310909806.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,9068345096.151,5444933011.22,0,3782864220.528,6870000,173011810.401,0,1482186980.291,3623412084.931,0,1444379156.99,2179032927.941,13945320538.437,6447852591.342,511438871.358,511438871.358,0,70573298.661,29204536.697,408452819.303,390273508.502,18179310.801,527858802.668,27665052.819,23091157.895,12193697.276,0,10897460.619,0,4573894.924,0,0,4573894.924,0,4118484512.162,111165301.816,701639444.361,3305679765.985,754174697.674,476046439.452,13203896.286,264924361.936,6634201421.746,57096336.815,57096336.815,0,0,0,98272261.355,5137208310.813,4958829319.813,178378991,5430773.841,5430773.841,0,0,59839770.201,51573801.37,8265968.831,1275631012.072,56021125.851,4624200,29055404.012,8913012.002,1177017270.207,722956.649,,0,0,0,0,0,0,85500,637456.649,326621707.504,536644817.845,457227633.854,0,79417183.991,,,,,,,,,0,194047500,153805000,1722500,4100000,34420000,292103196672,5611520000,0,5611520000,241424384,241424384,0,81920,263999488,263016448,983040,229363681280,17560039424,108488275968,5899563008,97415802880,25607782400,31014707200,0
2346,"Акционерное общество ""Объединенная страховая компания""",47783712.56132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,8606603.63062,5006091.97262,21102.3491,0,0,803997.5,0,4180992.12352,3600511.658,699584.363,1292541,1608386.295,39177108.9307,32321418.12171,9459670.52826,9327362.32826,132308.2,0,0,10542,0,10542,5092625.26934,3200,0,0,0,0,0,3200,0,0,3200,0,13227318.38502,4334254.64311,18145.68518,8874918.05673,4528061.93909,1307297.0456,427850.049,2792914.84449,2399483.02818,251800,251800,0,0,0,37706.8,851861.6,529886.4,321975.2,1000,0,0,1000,569780,26230,543550,686834.62818,18145.68518,0,5000,4000,659688.943,500,,0,0,0,0,0,0,500,0,0,4456207.78081,28139.52,0,4428068.26081,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",4303650597.49612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,240486780.69707,213411706.82007,166885122.269,23750,9294000,1744225.574,0,35464608.97707,27075073.877,4432.81,0,27070641.067,734700140.79905,531863788.62297,16512005.61619,16512005.61619,0,0,0,16641445.03967,6727229.53372,9914215.50595,343926658.63346,1473045.007,1473045.007,1393817.488,0,79227.519,0,0,0,0,0,0,110048462.02669,3539365.29954,23456921.38219,83052175.34496,43262172.29996,41633689.45603,36400,1592082.84393,194631203.30479,3035676.3,3035676.3,0,0,0,13000,139646316.22,0,139646316.22,0,0,0,0,23398102.53914,6381893.974,17016208.56514,28535608.24565,1567224.69908,0,0,148568.42,26819815.12657,2500,,0,0,0,0,0,0,2500,0,3993146.2831,4212002.58819,44963.31358,0,4167039.27461,,,,,,,,,0,5917500,3597500,20000,60000,2240000,3322546176,0,0,0,0,0,0,534528,632346624,469772288,162574336,2689665024,144582656,456939520,1780101120,308041728,0,0,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",410928794.81623995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,180587837.67525,91311674.83158,0,0,0,2880780.06299,0,88430894.76859,89276162.84367,61340.532,14966278.30967,74248544.002,230099517.14099,101983829.02109,15398273.91351,15398273.91351,0,0,0,47900,0,47900,3677533.22683,1806547.648,1700018.648,307521.787,0,1392496.861,0,106529,0,0,106529,0,18246278.32654,0,1104182.64156,17142095.68498,62807295.90621,336977.32042,1554971.90944,60915346.67635,118229433.24092,116874120,116874120,0,0,0,0,16933,0,16933,0,0,0,0,4500,500,4000,1308880.24092,609441.35247,0,0,0,699438.88845,25000,,0,0,25000,0,0,0,0,0,0,9886254.87898,0,0,9886254.87898,,,,,,,,,0,120000,100000,0,0,20000,121440,0,0,0,0,0,0,0,8096,0,8096,113344,109296,0,0,4048,0,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",36483519.42869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,6527926.23537,6511562.30609,0,0,0,4563.92928,0,6506998.37681,16363.92928,0,3200,13163.92928,29955593.19332,7403914.45632,7380870.747,7380870.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23043.70932,0,23043.70932,0,339500,339500,339500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,22212178.737,0,0,22212178.737,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2708,Акционерное общество «Баланс Страхование»,166063402.99127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,152721.28,152721.28,0,0,0,152721.28,0,0,0,0,0,0,165910681.71127,126533113.57227,0,0,0,5000,3291077.98567,0,0,0,99099210.56695,0,0,0,0,0,0,0,0,0,0,0,24137825.01965,0,0,24137825.01965,0,0,0,0,39247596.279,0,0,0,0,0,20056776,18173489.714,18173489.714,0,0,0,0,0,0,0,0,1017330.565,5000,0,0,0,1012330.565,0,,0,0,0,0,0,0,0,0,0,129971.86,0,0,129971.86,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2733,"Акционерное общество ""Страховая компания ""Бестиншур""",84479159909.01419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,12462346134.103,12341433316.477,9600.328,0,0,0,0,12341423716.149,120912817.626,73285324.801,40179650,7447842.825,72016813774.9112,122277095.67424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122277095.67424,0,0,122277095.67424,13317958575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13317958575,0,0,0,0,13317958575,0,,0,0,0,0,0,0,0,0,0,58576578104.2369,266105.77794,0,58576311998.459,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",64579075.93779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,32231661.64188,32231511.64188,0,0,0,32027850,0,203661.64188,150,0,0,150,32347414.29591,32347414.29591,1093423.55123,1093423.55123,0,0,0,0,0,0,22173531.58709,0,0,0,0,0,0,0,0,0,0,0,8890117.29672,0,0,8890117.29672,190341.86087,20775,1685,167881.86087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",233197.90958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233197.90958,233197.90958,0,0,0,0,0,0,0,0,233197.90958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",388017329.72577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,43403505.07742,39081505.07742,3906589.496,3966780,0,10276615.95298,0,20931519.62844,4322000,0,0,4322000,344361324.64835,323279465.97744,3761915.33113,3761915.33113,0,1483644.49945,0,0,0,0,463712.97683,101162283.41911,46591796.1986,7905073.1697,237925.352,37484104.4569,964693.22,54570487.22051,3649815.16342,151864.09964,49608032.99932,1160774.95813,194412926.31471,3118751.49447,5417072.67328,185877102.14696,21994983.43621,5650793.09699,0,16344190.33922,2979282.40793,94750,94750,0,0,0,0,0,0,0,0,0,0,0,12000,0,12000,2872532.40793,91000,0,3000,0,2778532.40793,0,,0,0,0,0,0,0,0,0,7921307.27361,10181268.98937,0,0,10181268.98937,,,,,,,,,0,252500,252500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3064,"Акционерное общество ""Боровицкое страховое общество""",39555572.60693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,27730257.9332,3468014.9077,4354.9077,1912550,0,0,0,1551110,24262243.0255,561949.2295,0,23700293.796,11825314.67373,10899730.90046,8848500,8848500,0,0,0,0,0,0,904190.696,0,0,0,0,0,0,0,0,0,0,0,1068917.48646,0,0,1068917.48646,78122.718,0,0,78122.718,925583.77327,2000,2000,0,0,0,0,0,0,0,0,0,0,0,31361.81236,0,31361.81236,642179.80364,29647.9918,0,0,0,612531.81184,250042.15727,,0,0,0,0,0,0,209000,41042.15727,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",368837334.70451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1138800,300,0,0,0,0,0,300,1138500,0,0,1138500,367698534.70451,367578334.70451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367578334.70451,0,0,367578334.70451,120200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120200,0,0,0,0,120200,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",193911717319.98935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,761488132.83139,253415906.89229,9370564.495,8782100,0,40249147.51866,0,195014094.87863,508072225.9391,72787412.3425,82631790.81861,352653022.77799,771363431.15795,610784217.33882,90487734.8993,90487734.8993,0,394.79166,4343611.63828,7339939.69177,0,7339939.69177,111314918.20296,6048,0,0,0,0,0,6048,0,0,6048,0,212340529.2112,12320308.19158,75248137.28011,124772083.73951,184951040.90365,15656346.2745,8963557.50098,160331137.12817,154730930.95983,685435,685435,0,0,0,40336419.98398,67892323.85867,0,67892323.85867,1383260,1023660,0,359600,167281.27927,16300,150981.27927,44049065.32503,32526291.07276,0,607700,0,10915074.25227,217145.51288,,0,20000,0,0,0,0,53000,144145.51288,2006614.9025,3841667.9568,5993.68351,0,3835674.27329,,,,,,,,,0,46557500,32405000,1152500,5080000,7920000,192332308256,0,0,0,0,0,0,0,387049520,387049520,0,191945258736,11648970080,30937860096,10600926688,138757501872,0,0,0
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",21925396.64005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1967000,1595000,0,1595000,0,0,0,0,372000,0,0,372000,19958396.64005,13771396.64005,13647396.64005,13647396.64005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124000,0,0,124000,0,0,0,0,6187000,6187000,6187000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",50537406867.11686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,38025149.6718,27593985,0,27346925,0,106740,0,140320,10431164.6718,0,1018824.6718,9412340,96981909.44506,88823587.80149,0,0,0,248960,2600,0,0,0,11669943.79124,0,0,0,0,0,0,0,0,0,0,0,76872164.24425,1182558.03335,75406096.43567,283509.77523,29919.766,24600,4594.766,725,8138509.64357,0,0,0,0,0,5450,0,0,0,0,0,0,0,181000,0,181000,7912059.64357,7560609.64357,0,5000,0,346450,40000,,0,40000,0,0,0,0,0,0,0,19812,0,0,19812,,,,,,,,,0,6760000,4180000,300000,100000,2180000,50395639808,0,0,0,0,0,0,0,497664,497664,0,50395142144,1112555520,0,464054272,48818532352,0,0,0
3230,"Акционерное общество ""Страховая компания ""СОГАЗ-Мед""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
