"Сведения о страховых премиях в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",2086029.1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720570.30514,438425.06108,2228.74309,,,60963.70274,,375232.61525,282145.24406,,269321.97152,12823.27254,1365393.98336,1142363.44031,64481.21611,64481.21611,,155.53124,,,,,7072.38707,814800.83567,509074.01497,169943.21621,812.44714,326124.80551,12193.54611,305726.8207,151326.43798,1801.19285,157829.22305,-5230.03318,181874.30876,2629.17571,11097.07815,168148.0549,73979.16146,5751.91549,,68227.24597,16295.51791,160.44616,160.44616,,,,,,,,,,,,46,46,,16089.07175,104.18944,,2.25,,15982.63231,,,,,,,,,,,29509.45203,177225.57311,0.05321,,177225.5199,,,,,,,,,,64.85,64.85,,,,,,,,,,,,,,,,,,,,,,,
3064,"Акционерное общество ""Боровицкое страховое общество""",196630.25796000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51578.57073,16061.69605,19.8,,,,,16041.89605,35516.87468,206.15868,,35310.716,31884.61635,22295.68056,13973.48633,13973.48633,,,,,,,5622.09617,,,,,,,,,,,,2477.21269,,9,2468.21269,222.88537,,,222.88537,9563.93579,2414.4,2414.4,,,,,,,,,,,,103.1316,,103.1316,385.9946,,,,,385.9946,6660.40959,,,,,,,,6049.50959,610.9,,25,,,25,,,,,,,,,113167.07088,,,,,,,,,,,,,,,,,,,,,,,,,
3128,"Общество с ограниченной ответственностью ""Международная страховая компания ""АйАйСи""",45850.28107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12788.305,1.05,,,,,,1.05,12787.255,,,12787.255,33061.97607,30011.33607,,,,,,,,,,,,,,,,,,,,,,,,,30011.33607,,,30011.33607,3050.64,,,,,,,,,,,,,,,,,3050.64,,,,,3050.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",5528.885600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.79894,524.60352,,,,,,524.60352,3800.19542,,,3800.19542,23182.08666,-13456.75645,-168.89695,-168.89695,,,,-12358.03517,,-12358.03517,4.3228,,,,,,,,,,,,-935.99551,,,-935.99551,1.84838,,,1.84838,34345.70871,,,,,,,-15104.61419,,-15104.61419,,,,,,,,12.83687,,,,,12.83687,49437.48603,,,,,,,,,49437.48603,,2293.1344,1287.67296,,1005.46144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21978
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",5295834.19476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748403.18994,519849.83466,49.22564,4499.69,,98567.48111,,416733.43791,228553.35528,13954.80779,142392.09296,72206.45453,2251624.95218,2098714.05189,1123323.60336,1123323.60336,,15.444,51869.56391,11612.21923,,11612.21923,26040.24649,856.47859,,,,,,856.47859,,,856.47859,,691125.96831,3513.52217,7903.76888,679708.67726,193870.528,53087.21885,31406.57409,109376.73506,50987.84401,3865.53805,1259.84805,2605.69,,,6868.97895,14058.29961,,14058.29961,5670.15905,5280,,390.15905,1491.02683,680.89794,810.12889,14019.3465,2329.24394,,147.84635,,11542.25621,5014.49502,,,55,,,,,2897.04163,2062.45339,1344.72804,100578.32824,146.66527,,100431.66297,,,,,,,,,2269720.26224,18980.16842,16834.91407,233.16,822.82935,1089.265,7105.62198,,,,,,,,,,,7105.62198,3569.54802,368.80181,112.40349,3054.86866,,,,
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",183331.24426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.39421,1200.39421,,1200.39421,,,,,,,,,182130.85005,175372.77442,175372.77442,175372.77442,,,,,,,,,,,,,,,,,,,,,,,,,,,6758.07563,6758.07563,6758.07563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3229,"Акционерное общество ""Страховая бизнес группа""",1042807.3148299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84626.9103,3262.24977,,1914.66972,,249.377,,1098.20305,81364.66053,,59961.52553,21403.135,890634.18192,835081.64734,137.2,137.2,,381.27,23.72994,114.99247,114.99247,,35136.913,,,,,,,,,,,,798965.498,,770352.15219,28613.34581,322.04393,251.1806,70.74932,0.11401,54239.27008,,,,,,5.05,3277.16792,2991.35505,285.81287,,,,,1661.1,,1661.1,49079.62172,48722.43042,,5.5,,351.6913,216.33044,,,134,,,,,,82.33044,,1313.2645,,,1313.2645,,,,,,,,,61319.45713,1662.18493,1008.25774,187.92,10.985,455.02219,4564.58055,,,,,,,,,,,4564.58055,1834.35327,402.92415,41.87834,2285.42479,,,,
3230,"Акционерное общество ""Страховая компания ""СОГАЗ-Мед""",4858.92853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4858.92853,,,,,,,,4858.92853,,4858.92853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3256,"Акционерное общество Страховая компания ""Совкомбанк Жизнь""",1202537.99453,712551.21789,712551.21789,210275.40603,,,,,,,133728.64674,1167.92437,34814.00839,67214.09578,30532.6182,,51912.09915,,,51912.09915,,,24634.66014,24634.66014,,,,,,,,,,,502275.81186,,,,,,,,,,,,,459640.62495,,,84144.03382,57891.95303,317604.6381,42635.18691,33819.06663,,,2770.96316,6045.15712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149554.75336,,,,,,,149554.75336,752.5634,,,4582.27302,144219.91694,340432.02328,329004.27288,,,,123036.66404,,205967.60884,11427.7504,,5278.93488,6148.81552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",52589.60314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47180.78635,1612.41797,,,,,,1612.41797,45568.36838,,,45568.36838,5124.84228,4614.20059,318.52585,318.52585,,,,28.12238,,28.12238,2643.92068,,,,,,,,,,,,1129.79315,,28.9642,1100.82895,493.83853,13.068,,480.77053,510.64169,412.1,412.1,,,,6,,,,,,,,6,6,,86.54169,2.41369,,,,84.128,,,,,,,,,,,,,,,,,,,,,,,,283.97451,,,,,,,,,,,,,,,,,,,,,,,,,
3300,"Акционерное общество Страховая группа ""Спасские ворота""",252117.66562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92555.5788,8238.74325,,,,323.04605,,7915.6972,84316.83555,23.26985,30854.64689,53438.91881,147894.61754,127406.00045,6034.24198,6034.24198,,,,5375.44,5375.44,,106445.12066,,,,,,,,,,,,4411.29772,,533.82256,3877.47516,5139.90009,,,5139.90009,20287.41709,162.9017,162.9017,,,,,17142.15712,17142.15712,,,,,,269,7,262,2713.35827,31.10853,,,,2682.24974,,,,,,,,,,,,201.2,,,201.2,,,,,,,,,11541.94428,125.525,116.525,,,9,,,,,,,,,,,,,,,,,,,,
3390,"Акционерное общество ""Страховая Компания ""ПОЛИС-ГАРАНТ""",143.85101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.98,-10.85,,,,,,-10.85,-27.13,,,-27.13,98.97322,98.97322,98.97322,98.97322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.85779,,,,,,,,,,,,,,,,,,,,,,,,,
3398,"Общество с ограниченной ответственностью Страховая компания ""Газпром страхование""",746637.7484800001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481923.66536,310628.30215,,,,146547.38335,,164080.9188,171295.36321,51712.14577,309.93133,119273.28611,264714.08312,248823.80786,19989.92989,19989.92989,,114.05057,44756.73095,,,,190.74903,,,,,,,,,,,,120988.20633,,91163.69582,29824.51051,62784.14109,,2198.6279,60585.51319,6526.58098,-4.49071,-4.49071,,,,243.77787,,,,578.60926,578.60926,,,171.1892,,171.1892,5537.49536,823.03485,,,,4714.46051,,,,,,,,,,,,9363.69428,11064.62949,,-1700.93521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3438,"Общество с ограниченной ответственностью ""ПРОМИНСТРАХ""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447,"Общество с ограниченной ответственностью ""АльфаСтрахование-Жизнь""",19366972.47555,19077228.811,19070953.64975,18207339.90984,7374033.7287,,5397045.51986,1005848.23231,400,970739.97653,8718912.55383,151825.4514,1273632.01662,6117028.84996,1174035.3756,2390.86025,2114393.62731,1441565.99894,,671760.12837,1067.5,,,,,,,,,,,,,,863613.73991,,,,,,,,,,,,,863613.73991,,,598363.7431,214328.91655,50921.08026,,,,,,,,,,,,,6275.16125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6275.16125,,,,,,,,,,,,,6275.16125,,,,,6275.16125,,,,,,,,,,,,,,,,,,,,,,,,,,289743.66455,156650.95181,,,,,,156650.95181,133092.71274,,,133092.71274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3507,"Общество с ограниченной ответственностью ""Хоум Кредит Страхование""",132935.06192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82342.13426,82342.13426,,,,,,82342.13426,,,,,50592.92766,40243.15461,,,,,,,,,,,,,,,,,,,,,3197.94506,,,3197.94506,37045.20955,,,37045.20955,3980.05655,,,,,,,,,,,,,,,,,3980.05655,,,,,3980.05655,,,,,,,,,,,,6369.7165,,,6369.7165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3511,"Общество с ограниченной ответственностью Страховая компания ""Согласие-Вита""",736867.5157999999,726988.02573,726988.02573,654562.73948,125481.937,,-689.255,123365.77,2805.422,,466698.34343,44473.97908,217451.25234,148863.52009,55909.59192,,55937.32205,216.78,,50720.54205,5000,,6445.137,6279.87,-0.99,13.443,,152.814,,,,,,,72425.28625,,,,,,,,,,,,,68639.26125,-260,234.9,64295.4235,2683.13475,1685.803,3786.025,42.942,,1027.143,5.217,2710.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9879.49007,133.683,,,,,,133.683,9745.80707,,,9745.80707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3528,"Общество с ограниченной ответственностью ""Страховое медицинское общество ""Спасение""",210579.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210579.946,,,,,,,,210579.946,,,210579.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594,"Общество с ограниченной ответственностью ""Международная Страховая Группа""",541920.03413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52805.219,11224.1,,,,,,11224.1,41581.119,,5001.119,36580,489114.81513,77.256,77.256,77.256,,,,,,,,,,,,,,,,,,,,,,,,,,,489037.55913,,,,,,,,,,,,,,,,,,,,,,,489037.55913,,,,,,,,,489037.55913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3609,"Общество с ограниченной ответственностью ""ППФ Страхование жизни""",1127032.19139,959275.83391,34793.932,13803.536,,,,,,,,,,,,,,,,,,,13803.536,13803.536,,,,,,,,,,,20990.396,,,,,,,,,,,,,,,,,,,20990.396,,,20990.396,,,,,,,,,924481.90191,9911.61619,,,,,,,,,,,,,8477.34819,,,5366.42819,1460.746,1650.174,,,,,,,1434.268,,,,,1434.268,914570.28572,,,,,,,,,,,,,846936.51238,,,24345.7473,137316.02487,685274.74021,,,,,,,67633.77334,,,,,67633.77334,152943.141,22454.851,,,,20045.167,2409.684,130488.29,,,,250.24,130238.05,14813.21648,14040.12048,,,,,,14040.12048,773.096,,,773.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3692,"Общество с ограниченной ответственностью Страховая компания ""Сбербанк страхование жизни""",33763424.642500006,33678717.05949,12225139.40164,7472206.87196,,,,,,,4663187.47996,684816.31473,97941.48496,3835896.25989,44466.43824,66.98214,2809019.392,,2318023.992,490995.4,,,,,,,,,,,,,,,4752932.52968,,,,,,,4572559.77691,12.09591,116284.73634,192485.03718,808461.50026,3455316.40722,176542.15106,,,105968.82668,69003.32438,1570,3830.60171,,,1850.254,742.17789,1238.16982,,,,,,,21453577.65785,11310126.41866,7454885.13904,,1003327.239,5734177.14004,717380.76,,,,,,,,3855241.27962,,682.73,2300160.82939,1498278.8942,56118.82603,,,,,,,,,,,,,10143451.23919,,,,,,,,,,,,,10143451.23919,,5302.681,1243385.20887,4523306.61714,4371456.73218,,,,,,,,,,,,,,,,,,,,,,,,,,84707.58301,19738.4903,,,,,,19738.4903,64969.09271,,,64969.09271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3748,"Акционерное общество ""Русский Стандарт Страхование""",1195771.16359,834014.9178,834014.9178,835395.05135,212756.75987,,20566.89676,192189.86311,,,5551.3963,5551.3963,,,,,-8499.79025,,,-8499.79025,,,625342.33641,3750.22184,67889.06289,446357.25311,107345.79857,,244.34902,209.8843,34.46472,,,,-1380.13355,,,,,,,,,,,,,-1380.13355,,,,-915.46631,-464.66724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361756.24579,194748.53906,9.79128,,,,,194738.74778,167007.70673,2045.62373,1457.993,163504.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3767,"Общество с ограниченной ответственностью Страховая компания ""АСКОР""",346951.32883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208615.85883,208615.85883,,,,,,208615.85883,,,,,138335.47,32717.21838,29332.5521,29332.5521,,,,,,,67.55678,,,,,,,,,,,,3072.57129,,11,3061.57129,244.53821,,,244.53821,105553.7134,,,,,,,,,,,,,,,,,105433.7134,,,26.2,,105407.5134,120,,,,,,,,120,,,64.53822,,,64.53822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3799,"общество с ограниченной ответственностью ""Британский Страховой Дом""",181224.26613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55902.36073,330.80211,,10.2,,93.427,,227.17511,55571.55862,324.45109,41735.9385,13511.16903,125321.9054,12924.67528,4651.43438,4651.43438,,,,,,,4667.72193,,,,,,,,,,,,3063.49279,,989.46019,2074.0326,542.02618,310.85996,222.01222,9.154,102273.564,110.36932,110.36932,,,,,,,,,,,,,,,100437.36964,99933.31,,,,504.05964,1725.82504,,,,,,,,,1725.82504,10123.66612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3803,"Общество с ограниченной ответственностью ""Страховая Компания Доминанта""",10409.46694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10409.46694,7933.52304,,,,,,,,,5129.9544,,,,,,,,,,,,2803.56864,,,2803.56864,,,,,2475.9439,,,,,,,,,,,,,,40,,40,2435.9439,39.045,,,,2396.8989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3815,"Общество с ограниченной ответственностью ""СК ""Экспресс-страхование""",3613.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3613.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.39,,,,,,,,,,,,,,,,,238,238,,,,,340.39,,,,,,,,,340.39,,3035.338,,,3035.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3823,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-Жизнь""",1667710.0404499997,1247992.69357,1247992.69357,1047120.10005,107472.92825,,84217.22825,23255.7,,,92601.44142,21049.16203,2847.02733,9955.29951,-3629.55132,62379.50387,847045.73038,159908.77937,164510.86992,498094.41503,24216.09929,315.56677,,,,,,,,,,,,,200872.59352,,,,,,,167.66483,1.4866,29.50109,106.59708,30.08006,,200704.92869,,-703.57542,138760.53773,38525.86854,24122.09784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64940.29311,,,,,,,64940.29311,,,-37.40611,256.81304,64720.88618,354777.05377,314074.14467,,,,282877.24976,,31196.89491,40702.9091,,39960.55466,742.35444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
